,item_name,First_Part,Type
0,B 29 Aq - Vial of 1ml Injection,B29AQ,VIALOF1MLINJECTION
1,B 29 Daily - Strip of 10 Tablets,B29DAILY,STRIPOF10TABLETS
2,B Active Capsule - Strip of 30 Capsules,BACTIVECAPSULE,STRIPOF30CAPSULES
3,B Aim - Strip of 10 Capsules,BAIM,STRIPOF10CAPSULES
4,B Aim - Strip of 10 Tablets,BAIM,STRIPOF10TABLETS
5,B aim Plus - Strip of 10 Tablets,BAIMPLUS,STRIPOF10TABLETS
6,B Bact - Tube of 15g Ointment,BBACT,TUBEOF15GOINTMENT
7,B Bact - Tube of 5gm Ointment,BBACT,TUBEOF5GMOINTMENT
8,B Braun Intrafix P Safeset 180cm - Pack of 1 Safeset,BBRAUNINTRAFIXPSAFESET180CM,PACKOF1SAFESET
9,B D Luerlock - Pack of 3ml Syringe,BDLUERLOCK,PACKOF3MLSYRINGE
10,B Fit - Tube of 30 gm Gel,BFIT,TUBEOF30GMGEL
11,B Folydol - Bottle of 100ml Syrup,BFOLYDOL,BOTTLEOF100MLSYRUP
12,B Folydol - Bottle of 1g Drops,BFOLYDOL,BOTTLEOF1GDROPS
13,B Folydol - Strip of 10 Tablets,BFOLYDOL,STRIPOF10TABLETS
14,B G Prot L Elixir - Bottle of 450 ml Syrup,BGPROTLELIXIR,BOTTLEOF450MLSYRUP
15,B Glow -Tube of 75 G Face Wash,BGLOW,TUBEOF75GFACEWASH
16,B Leav - Bottle of 200ml Syrup,BLEAV,BOTTLEOF200MLSYRUP
17,B Muce - Tube of 5 gm Ointment,BMUCE,TUBEOF5GMOINTMENT
18,B N C - Strip of 10 Capsules,BNC,STRIPOF10CAPSULES
19,B.D - Pack of 22g 1 inch Needles,B.D,PACKOF22G1INCHNEEDLES
20,B.D - Pack of 24g 1inch Needles,B.D,PACKOF24G1INCHNEEDLES
21,B.D 3Pc - Bottle of 5ml Syringe,B.D3PC,BOTTLEOF5MLSYRINGE
22,B.D Discardit Syringes 10ml,B.DDISCARDITSYRINGES10ML,
23,B.D. Syringes 5ml,B.D.SYRINGES5ML,
24,B.I.SURGICAL ABSORBANT 1.1MTR X 4MTR - Bottle of 1 GAUZE CLOTH,B.I.SURGICALABSORBANT1.1MTRX4MTR,BOTTLEOF1GAUZECLOTH
25,B12 FILM 1500 DISINTEGRATING - Strip of 10 Tablets,B12FILM1500DISINTEGRATING,STRIPOF10TABLETS
26,B2 Doc - Bottle of 5 ml Eye Drops,B2DOC,BOTTLEOF5MLEYEDROPS
27,B29 - Bottle of 200Ml Liquid,B29,BOTTLEOF200MLLIQUID
28,B-29 - Strip of 10 Tablets,B29,STRIPOF10TABLETS
29,B-29 AQ 1500mcg - Bottle of 1ml Injection,B29AQ1500MCG,BOTTLEOF1MLINJECTION
30,B-29 AQ 1500mcg - Pre-filled Syringe of 1ml Injection,B29AQ1500MCGPRE,FILLEDSYRINGEOF1MLINJECTION
31,B-29 Daily - Strip of 15 Tablets,B29DAILY,STRIPOF15TABLETS
32,B-29 Gold - Strip of 10 Tablets,B29GOLD,STRIPOF10TABLETS
33,B-29 Gold AQ Injection 2 ml,B,29GOLDAQINJECTION2ML
34,B-29 LC - Strip of 10 Tablets,B29LC,STRIPOF10TABLETS
35,B-29 MAX - Strip of 10 Capsules,B29MAX,STRIPOF10CAPSULES
36,B4 Nappi - Tube of 75 Gms Cream,B4NAPPI,TUBEOF75GMSCREAM
37,B75 - Strip of 30 Tablets,B75,STRIPOF30TABLETS
38,B-9 Plus - Strip of 10 Capsules,B9PLUS,STRIPOF10CAPSULES
39,Baby Sebamed - Bottle of 150 ml Children Shampoo,BABYSEBAMED,BOTTLEOF150MLCHILDRENSHAMPOO
40,Baby Sebamed - Bottle of 200 ml Sun Lotion,BABYSEBAMED,BOTTLEOF200MLSUNLOTION
41,Baby Sebamed - Bottle of 50 ml Baby Wash,BABYSEBAMED,BOTTLEOF50MLBABYWASH
42,Baby Sebamed - Pack of of 150 g Baby Cleansing Bar,BABYSEBAMED,PACKOFOF150GBABYCLEANSINGBAR
43,Baby Sebamed - Tube of 100 ml Rash Cream,BABYSEBAMED,TUBEOF100MLRASHCREAM
44,Baby Sebamed - Tube of 200 ml Cream,BABYSEBAMED,TUBEOF200MLCREAM
45,Baby Sebamed - Tube of 50 ml Cream,BABYSEBAMED,TUBEOF50MLCREAM
46,Babygesic - Bottle Of 60 Ml Solution,BABYGESIC,BOTTLEOF60MLSOLUTION
47,Babygesic 250 - Bottle of 60 ml Suspension,BABYGESIC250,BOTTLEOF60MLSUSPENSION
48,BABYGESIC DS 250MG - Bottle of 5 ml Syrup,BABYGESICDS250MG,BOTTLEOF5MLSYRUP
49,Babygesic Orange Flavour - Bottle of 15 ml Drops,BABYGESICORANGEFLAVOUR,BOTTLEOF15MLDROPS
