Product_ID,Client_ID,Product_Code,Product_Desc,UOM,Packsize,Manufacturer,MRP,PTS,PTR,Narco_Product_limit,ProductFormId,Active,short_supply,BoxSize,ShortName,CreatedBy,CreatedOn,ModifiedBy,ModifiedOn,visiable_product_saleman,visiable_product_Retailer,ERPProductID,CategoryID,Category,molecular_id,P_ID,GST_PER,Manufacturer_Code,ED_MDM_Product_Code,ED_MDM_Product_Image,ED_MDM_Product_Document_Image,ED_MDM_Product_Creation_Time,Match
1693625,756,J0004950,B 29 AQ INJECTION 1ML,NULL,1ML,CORONA XEMX-X,46.12,32.61,32.94,0,NULL,1,0,NULL,B29AQINJECTION,NULL,15-05-2020 07:03,NULL,05/05/2023 9:58,1,1,1206254,0,NULL,NULL,117121044,NULL,AFY,ED000009210,NULL,NULL,NULL,
3581664,756,J0004951,B 29 DAILY TABLETS 10^S,NULL,10'S,CORONA XEMX-X,50,32.15,35.71,0,NULL,1,0,NULL,B29DAILYTAB10S,NULL,16-07-2021 09:03,NULL,02/02/2023 11:41,1,1,1222494,0,NULL,NULL,117118439,NULL,AFY,ED000009211,NULL,NULL,NULL,
1693663,756,J0004952,B 29 DAILY TABLETS 15^S,NULL,15'S,CORONA XEMX-X,119,72.61,80.68,0,NULL,1,0,NULL,B29DAILYTABS,NULL,15-05-2020 07:03,NULL,05/05/2023 9:58,1,1,1206306,0,NULL,NULL,117121008,NULL,AFY,ED000159822,NULL,NULL,NULL,
1694889,756,J0004953,B 29 GOLD TABLETS 10 .S,NULL,"10 ,S",CORONA XEMX-X,141.9,91.22,101.36,0,NULL,1,0,NULL,B29GOLDTAB,NULL,15-05-2020 07:05,NULL,05/05/2023 9:58,1,1,1208999,0,NULL,NULL,117119983,NULL,AFY,ED000009215,NULL,NULL,
1694367,756,J0004954,B 29 LC TABLETS 10^S,NULL,10'S,CORONA XEMX-X,188.35,121.08,134.54,0,NULL,1,0,NULL,B29LCTAB,NULL,15-05-2020 07:05,NULL,05/05/2023 9:58,1,1,1207755,0,NULL,NULL,117120424,NULL,AFY,ED000009218,NULL,NULL,NULL,
3010356,756,J0004955,B 29 MAX CAPSULES 10^S,NULL,10'S,CORONA XEMX-X,195,137.89,139.29,0,NULL,1,0,NULL,B29MAXCAPS,NULL,23-02-2021 04:26,NULL,05/05/2023 9:58,1,1,1285928,0,NULL,NULL,117108852,NULL,AFY,ED000157872,NULL,NULL,NULL,
1693665,756,J0004956,B 29 SYRUP 200ML,NULL,200ML,CORONA XEMX-X,175,106.78,118.64,0,NULL,1,0,NULL,B29SYRUP,NULL,15-05-2020 07:03,NULL,05/05/2023 9:58,1,1,1206310,0,NULL,NULL,117121007,NULL,AFY,ED000009219,NULL,NULL,NULL,
1693642,756,J0004957,B 29 TABLETS (NEW) 10^S,NULL,10'S,CORONA XEMX-X,173.5,111.54,123.93,0,NULL,1,0,NULL,B29TABSNEW,NULL,15-05-2020 07:03,NULL,05/05/2023 9:58,1,1,1206271,0,NULL,NULL,117121029,NULL,AFY,ED000009220,NULL,NULL,NULL,
1693696,756,J0004958,B FIT CD TABLETS 10^S,NULL,10'S,CORONA WELLNESS-J,199,128.14,134.92,0,NULL,1,0,NULL,BFITCDTABS,NULL,15-05-2020 07:03,NULL,05/05/2023 9:58,1,1,1206351,0,NULL,NULL,117120984,NULL,AFZ,ED000009269,NULL,NULL,NULL,
1688460,756,J0004959,B STIL 16MG 10S,NULL,10S,ABBOTT HC(GEN MED),167.58,107.73,119.7,0,NULL,1,0,NULL,BSTIL16MG10S,NULL,15-05-2020 06:57,NULL,04/04/2023 1:01,1,1,1180235,0,NULL,NULL,117123355,NULL,ADHN,ED000009326,NULL,NULL,NULL,
1702218,756,J0004960,B STIL 16MG # 10^S,NULL,10'S,ABBOTT # M CARE#,138.5,98.93,98.93,0,NULL,1,0,NULL,BSTIL16MG10S,NULL,15-05-2020 07:20,NULL,02/02/2023 11:41,1,1,1227051,0,NULL,NULL,117116461,NULL,GYM,ED000009326,NULL,NULL,NULL,
1688461,756,J0004961,B STIL 24MG 10S,NULL,10S,ABBOTT HC(GEN MED),189.85,122.05,135.61,0,NULL,1,0,NULL,BSTIL24MG10S,NULL,15-05-2020 06:57,NULL,02/02/2023 11:41,1,1,1180236,0,NULL,NULL,117123354,NULL,ADHN,ED000009327,NULL,NULL,NULL,
1688462,756,J0004962,B STIL 8MG 10S,NULL,10S,ABBOTT HC(GEN MED),68,43.72,48.57,0,NULL,1,0,NULL,BSTIL8MG10S,NULL,15-05-2020 06:57,NULL,02/02/2023 11:41,1,1,1180238,0,NULL,NULL,117123353,NULL,ADHN,ED000009328,NULL,NULL,NULL,
1702219,756,J0004963,B STIL 8MG # 10^S,NULL,10'S,ABBOTT # M CARE#,68,48.57,48.57,0,NULL,1,0,NULL,BSTIL8MG10S,NULL,15-05-2020 07:20,NULL,02/02/2023 11:41,1,1,1227052,0,NULL,NULL,117116460,NULL,GYM,ED000009328,NULL,NULL,NULL,
2912590,756,J0004964,B-12 FILM(SACHET),NULL,1*10,SHILPA,NULL,0,0,,NULL,1,0,0,B12FILMSACHET,NULL,14-01-2021 06:45,NULL,02/02/2023 11:41,1,1,NULL,0,NULL,NULL,NULL,NULL,ZVZ,ED000176445,NULL,NULL,NULL,
3351538,756,J0004965,B2 DOC E/D 5ML,NULL,5ML,LUPIN BLUEEYES,399,285,285,0,NULL,1,0,NULL,B2DOCED5ML,NULL,26-05-2021 06:42,NULL,02/02/2023 11:41,1,1,1287224,0,NULL,NULL,117108428,NULL,SGM,ED000156590,NULL,NULL,NULL,
1709200,756,J0004966,B4 NAPPI CREAM 75GM,NULL,75GM,CURATIO HEALTHCARE  DERMA,230,155.93,155.93,0,NULL,1,0,NULL,B4NAPPICREAM75GM,NULL,15-05-2020 07:48,NULL,24-04-2023 06:17,1,1,1260850,0,NULL,NULL,117114246,NULL,SDM,ED000009361,NULL,NULL,NULL,
1709185,756,J0004967,B4 NAPPI WIPES 30S,NULL,30S,CURATIO HEALTHCARE  DERMA,120,81.36,81.36,0,NULL,1,0,NULL,B4NAPPIWIPES,NULL,15-05-2020 07:48,NULL,05/05/2023 9:58,1,1,1260828,0,NULL,NULL,117114260,NULL,SDM,ED000009362,NULL,NULL,NULL,
2692025,756,J0004968,BABY MASK 1^S,NULL,1'S,CIPLA XTERNA TEAM 2 DERMA,330.15,201.45,223.83,0,NULL,1,0,NULL,BABYMASK,NULL,17-11-2020 06:29,NULL,05/05/2023 9:58,1,1,1222443,0,NULL,NULL,117118462,NULL,Aë,ED000009415,NULL,NULL,NULL,
1708913,756,J0004969,BACIGYL N SYP 30ML 30ML,NULL,30ML,ARISTO OTSIRA,16,0,12,0,NULL,1,0,NULL,BACIGYLNSYP30ML30ML,NULL,15-05-2020 07:48,NULL,02/02/2023 11:41,1,1,1509,0,NULL,NULL,117135271,NULL,SFR,ED000009441,NULL,NULL,NULL,
